"dataset_name","class_folder","folder_path","original_filename","renamed_filename"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP001_hand_spiral_01.png","HP001_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP001_hand_spiral_02.png","HP002_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP001_hand_spiral_03.png","HP003_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP002_hand_spiral_01.png","HP004_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP002_hand_spiral_02.png","HP005_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP002_hand_spiral_03.png","HP006_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP003_hand_spiral_01.png","HP007_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP003_hand_spiral_02.png","HP008_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP003_hand_spiral_03.png","HP009_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP004_hand_spiral_01.png","HP010_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP004_hand_spiral_02.png","HP011_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP004_hand_spiral_03.png","HP012_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP005_hand_spiral_01.png","HP013_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP005_hand_spiral_02.png","HP014_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP005_hand_spiral_03.png","HP015_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP006_hand_spiral_01.png","HP016_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP006_hand_spiral_02.png","HP017_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP006_hand_spiral_03.png","HP018_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP007_hand_spiral_01.png","HP019_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP007_hand_spiral_02.png","HP020_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP007_hand_spiral_03.png","HP021_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP008_hand_spiral_01.png","HP022_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP008_hand_spiral_02.png","HP023_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP008_hand_spiral_03.png","HP024_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP009_hand_spiral_01.png","HP025_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP009_hand_spiral_02.png","HP026_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP009_hand_spiral_03.png","HP027_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP009_hand_spiral_04.png","HP028_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP009_hand_spiral_05.png","HP029_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP009_hand_spiral_06.png","HP030_hand_spiral_01.png"
"Public_Dataset","Healthy","D:\Final Semester\Thesis Work\Codes\Dataset\Spiral_Handwriting\Public_Dataset\Healthy","HP009_hand_spiral_07.png","HP031_hand_spiral_01.png"
